,Date,0
0,,304.39227
1,,303.7461
2,,299.3114
3,,290.36212
4,,291.95172
5,,297.54193
6,,293.50757
7,,311.0708
8,,316.453
9,,293.23572
10,,285.63232
11,,275.51385
12,,275.2649
13,,276.41986
14,,280.6902
15,,286.67578
16,,281.19458
17,,285.91296
18,,288.8119
19,,274.2115
20,,268.15436
21,,266.0561
22,,270.13602
23,,271.05457
24,,263.79462
25,,257.01892
26,,265.60904
27,,271.7478
28,,276.127
29,,276.34717
30,,285.8459
31,,283.4198
32,,289.68842
33,,263.21417
34,,271.59198
35,,273.54028
36,,269.9264
37,,274.25928
38,,265.56104
39,,266.0661
40,,263.34058
41,,269.38034
42,,269.09473
43,,270.3873
44,,261.95947
45,,259.99023
46,,258.24622
47,,248.60023
48,,234.9454
49,,237.87775
50,,237.51616
51,,232.96089
52,,242.56758
53,,251.90201
54,,251.84706
55,,247.45862
56,,243.44745
57,,238.87424
58,,236.95453
59,,225.83372
60,,229.23033
61,,228.35968
62,,226.47092
63,,212.40813
64,,202.18674
65,,201.46957
66,,193.90038
67,,192.97661
68,,189.82071
69,,187.74985
70,,187.22746
71,,186.52393
72,,184.63824
73,,179.86612
74,,187.24936
75,,194.11925
76,,204.11945
77,,203.49681
78,,210.15932
79,,215.24892
80,,211.0371
81,,209.8853
82,,211.91524
83,,220.59119
84,,224.39563
85,,223.0512
86,,219.14873
87,,217.9659
88,,221.14734
89,,219.05865
90,,218.58762
91,,219.16882
92,,221.01572
93,,226.25526
94,,223.21533
95,,234.9883
96,,230.54066
97,,228.2301
98,,227.48032
99,,235.48041
100,,236.30228
101,,241.91154
102,,250.07501
103,,249.28188
104,,253.77986
105,,251.13365
106,,255.80482
107,,254.3473
108,,256.25046
109,,261.9969
110,,226.71956
111,,224.5076
112,,231.44052
113,,237.68584
114,,239.59258
115,,233.603
116,,231.00099
117,,226.3721
118,,227.64299
119,,228.91911
120,,234.82265
121,,233.06267
122,,228.17172
123,,230.7714
124,,220.0875
125,,214.08711
126,,216.76576
127,,223.26524
128,,223.78418
129,,218.90837
130,,219.79878
131,,212.06697
132,,211.82239
133,,212.4732
134,,212.65002
135,,218.70163
136,,224.87065
137,,222.84016
138,,220.18654
139,,225.07265
140,,224.83138
141,,229.22395
142,,231.48566
143,,242.65147
144,,244.91502
145,,243.36386
146,,241.15775
147,,241.28023
148,,241.65474
149,,243.96602
150,,239.1339
151,,238.77827
152,,225.82072
153,,223.67525
154,,236.88448
155,,240.72546
156,,237.90732
157,,241.4976
158,,240.30894
159,,229.76788
160,,228.92125
161,,233.51233
162,,237.41962
163,,241.8155
164,,242.73656
165,,246.373
166,,252.92079
167,,255.19638
168,,257.448
169,,259.82663
170,,255.21227
171,,251.32394
172,,252.34306
173,,251.65936
174,,303.86072
175,,320.86243
176,,328.096
177,,314.2074
178,,313.0993
179,,313.39545
180,,310.90515
181,,314.40375
182,,315.6588
183,,321.6363
184,,334.59222
185,,332.24524
186,,344.497
187,,345.27124
188,,344.82208
189,,344.8271
190,,348.0733
191,,345.48853
192,,353.8252
193,,348.49023
194,,351.97943
195,,328.30676
196,,337.00055
197,,326.94073
198,,329.24408
199,,326.27612
200,,331.04382
201,,332.09595
202,,330.32874
203,,326.42023
204,,334.34918
205,,336.5044
206,,344.35095
207,,350.32324
208,,355.40228
209,,354.3642
210,,376.5077
211,,373.10754
212,,387.43762
213,,398.58862
214,,399.09863
215,,411.85168
216,,412.98767
217,,421.17047
218,,418.59406
219,,404.6306
220,,406.61328
221,,421.78723
222,,433.72583
223,,432.79468
224,,452.5974
225,,468.2708
226,,458.7448
227,,458.8977
228,,496.38214
229,,498.4699
230,,482.20288
231,,478.79474
232,,483.3333
233,,510.265
234,,521.9282
235,,513.0397
236,,514.99524
237,,506.86725
238,,519.655
239,,524.38654
240,,563.9323
2175,2019-02-20,
2176,2019-02-21,
2177,2019-02-22,
2178,2019-02-25,
2179,2019-02-26,
2180,2019-02-27,
2181,2019-02-28,
2182,2019-03-01,
2183,2019-03-04,
2184,2019-03-05,
2185,2019-03-06,
2186,2019-03-07,
2187,2019-03-08,
2188,2019-03-11,
2189,2019-03-12,
2190,2019-03-13,
